E,v,theta,phi,r,label
61.02580262176296,310.87938979739994,0.8178462146328611,5.422011546171977,0.28795142841715216,1
40.93484176247423,479.9066524333464,2.2158126589402705,3.034172440021315,18.7887252468489,0
28.56347925251231,117.47070982295759,1.1511229542857742,2.4932078152235704,1.2476486254485046,1
51.7326746271228,310.75616585150397,1.0780339718594365,4.802838914727069,3.076939761956195,1
6.636092426321033,356.29564171871937,0.3662655856073639,0.9945896187024691,15.430432930768758,0
51.07455663505089,244.34644099047748,1.1566984149899524,2.845332064802079,0.21922285461987648,1
55.08303060158689,430.86026902555955,1.6062815179842007,6.16956018113433,8.220208540068993,1
7.139701779892754,357.6305367177109,2.6802281475311593,3.921243745599575,10.851300992865422,0
383.83807594297207,187.81955957071438,0.7630046861840637,3.887333597625474,3.6643133809107264,0
62.17071153052245,388.5860104973729,1.6764354249257813,5.139611232343345,1.7008538641446547,1
30.644721379008544,158.751582912883,2.121422929728644,1.243530842256064,10.658653016171051,0
55.64357064348702,325.5918803778178,1.0558978042217901,4.497304088063764,6.4361416301795975,1
35.48188145942771,556.7681852480838,1.0675433740606493,3.90306291347697,7.817783280713395,1
14.11910905757162,482.34472291051975,3.141416342832141,3.6926387070649542,9.75991598049494,0
26.777053592368215,353.8881146786046,2.3719646596651325,1.6089518144429886,9.422128342567014,0
69.79654544131688,65.26745841785274,1.6828620103068646,1.9756511684408358,6.10043066987302,0
41.40856436699734,490.83977342574343,1.424179239105666,2.0181238272876025,49.70923136523577,1
2.632052683290935,560.2738359271792,2.6602434571321862,2.3044314575618072,14.038506309198414,0
4.188197243903131,456.41271853161163,0.5794863775718976,1.8802828475966187,19.166069983772317,0
37.95163307556963,152.04361920988833,1.6354800809059098,0.27693691348597965,2.8796336956265676,1
47.789447489663566,219.49096228959954,1.5493044042083854,2.0370330874181395,6.957523954767166,1
6.766412062873968,235.74553095094984,1.4213841007401529,1.5153004212460073,5.414961183722462,0
15.156767478969417,57.85604760146184,2.189813074657829,1.2134450765978866,6.0124203195600945,0
62.54695643881238,273.74872865403046,1.9075988352030668,0.6662693176692914,5.382053752046797,1
41.47890462084802,176.4454917339443,0.6968034125946191,1.229810103273105,2.2853235687383555,1
32.85331103136432,409.2027649087244,1.7785318963038597,1.8635260130760196,1.046575294858701,1
50.92264723725965,461.47351238444446,1.422654675062183,1.1147055335621876,1.1175578209030672,1
4.591865259918111,296.6102617257336,1.1437894988865513,4.773958232393474,3.648929204968374,0
68.78823608707769,77.79654132529465,1.8625590815045818,4.502892643693303,13.65618449802482,0
53.914978100106424,384.6350069992664,2.333849300414215,3.7580652440100346,3.393780547755736,0
44.083897854409855,283.92482112611964,0.9312560192648686,1.1066502263816724,2.3576416118096257,1
47.58781176744567,294.28609695449745,1.0989394614954429,3.6906213639221837,8.201852843828451,1
52.72916908334526,64.54452835347308,2.1766284583507693,2.5320428422268937,4.552406502387331,0
60.41090191769298,306.9671076056323,1.054759201259051,4.896452618248534,8.57376550307926,1
